keys,zh,en,ms
UI_HOME_BATTLE,战斗,Battle,Pertempuran
UI_HOME_SHOP,商城,Shop,Kedai
UI_HOME_ARSENAL,军火库,Arsenal,Gudang Senjata
UI_HOME_FACTORY,兵工厂,Factory,Kilang
UI_HOME_CHESTS,宝箱,Chests,Peti Harta
UI_HOME_UPGRADE,升级,Upgrade,Naik Taraf
UI_HOME_FREE_REWARD,免费奖励,Free Reward,Ganjaran Percuma
UI_HOME_FEATURE_DEVELOPING,功能开发中，敬请期待！,Feature coming soon!,Ciri akan datang!
UI_BATTLE_WAVE_FORMAT,波次 %d/%d,Wave %d/%d,Gelombang %d/%d
UI_BATTLE_ENDLESS_WAVE,♾️ 波次 %d,♾️ Wave %d,♾️ Gelombang %d
UI_BATTLE_TAB_TOWER,炮台,Towers,Menara
UI_BATTLE_TAB_HERO,英雄,Heroes,Wira
UI_BATTLE_TAB_ITEM,道具,Items,Item
UI_BATTLE_BACK,返回,Back,Kembali
UI_SETTINGS_TITLE,设置,Settings,Tetapan
UI_SETTINGS_GUIDE,指南,Guide,Panduan
UI_SETTINGS_AUDIO,🔊 音频,🔊 Audio,🔊 Audio
UI_SETTINGS_MUSIC_VOL,音乐音量,Music Volume,Kelantangan Muzik
UI_SETTINGS_SFX_VOL,音效音量,SFX Volume,Kelantangan SFX
UI_SETTINGS_DISPLAY,🖥 画面,🖥 Display,🖥 Paparan
UI_SETTINGS_QUALITY,画质,Quality,Kualiti
UI_SETTINGS_QUALITY_LOW,流畅,Smooth,Lancar
UI_SETTINGS_QUALITY_MED,均衡,Balanced,Seimbang
UI_SETTINGS_QUALITY_HIGH,高画质,High Quality,Kualiti Tinggi
UI_SETTINGS_PARTICLES,粒子效果,Particles,Kesan Zarah
UI_SETTINGS_GAMEPLAY,🎮 游戏辅助,🎮 Gameplay,🎮 Permainan
UI_SETTINGS_DMG_NUMBERS,显示伤害数字,Damage Numbers,Nombor Kerosakan
UI_SETTINGS_RANGE_DISPLAY,攻击范围圆,Range Display,Paparan Jarak
UI_SETTINGS_RANGE_OFF,关闭,Off,Tutup
UI_SETTINGS_RANGE_SELECTED,仅选中,Selected Only,Terpilih Sahaja
UI_SETTINGS_RANGE_ALWAYS,常驻,Always,Sentiasa
UI_SETTINGS_DEFAULT_SPEED,默认游戏速度,Default Speed,Kelajuan Asal
UI_SETTINGS_OTHER,ℹ 其他,ℹ Other,ℹ Lain-lain
UI_SETTINGS_VERSION,版本,Version,Versi
UI_GUIDE_ENEMIES,敌人详情,Enemies,Musuh
UI_GUIDE_TOWERS,炮台详情,Towers,Menara
UI_GUIDE_HEROES,英雄详情,Heroes,Wira
UI_GUIDE_UPGRADES,升级强化,Upgrades,Naik Taraf
UI_GUIDE_EFFECTS,效果,Effects,Kesan
UI_GUIDE_SELECT_ITEM,选择一个项目,Select an item,Pilih satu item
UI_MODE_NORMAL,普通模式,Normal Mode,Mod Biasa
UI_MODE_HARD,困难模式,Hard Mode,Mod Sukar
UI_MODE_HARD_COMING,即将推出,Coming Soon,Akan Datang
UI_MODE_CHALLENGE,挑战模式,Challenge Mode,Mod Cabaran
UI_MODE_DESC_NORMAL,体验纯粹的塔防，能够使用兵工厂力量,Pure tower defense with Arsenal power,Pertahanan menara tulen dengan kuasa Gudang Senjata
UI_MODE_DESC_HARD,提供80波敌人，新敌人、新机制，即将推出,80 waves with new enemies and mechanics. Coming soon!,80 gelombang dengan musuh dan mekanik baru. Akan datang!
UI_MODE_DESC_CHALLENGE,1HP挑战40波敌人，不可以使用兵工厂力量,1HP challenge with 40 waves. No Arsenal power,Cabaran 1HP dengan 40 gelombang. Tiada kuasa Gudang Senjata
UI_MODE_START,开始游戏,Start Game,Mula Permainan
UI_LOGIN_START,开始游戏,Start Game,Mula Permainan
UI_LOADING,加载中...,Loading...,Memuatkan...
UI_STORY_SKIP,跳过,Skip,Langkau
UI_UPGRADE_TITLE,选择强化,Choose Upgrade,Pilih Peningkatan
UI_UPGRADE_CONFIRM,确认选择,Confirm,Sahkan
UI_UPGRADE_REFRESH,刷新,Refresh,Segar Semula
UI_DIALOG_CONFIRM,确认,Confirm,Sahkan
UI_DIALOG_CANCEL,取消,Cancel,Batal
UI_SELL,售出,Sell,Jual
UI_SELL_CONFIRM,确定售出 %s？,Sell %s?,Jual %s?
UI_SELL_REFUND,返还 %s 🪙,Refund %s 🪙,Pulangan %s 🪙
UI_CHEST_TITLE,宝箱,Chests,Peti Harta
UI_CHEST_BUY_TITLE,购买宝箱,Buy Chests,Beli Peti Harta
UI_CHEST_BULK_TITLE,10连开箱,10x Open,10x Buka
UI_CHEST_CLICK_OPEN,点击宝箱打开,Tap chest to open,Ketik peti untuk buka
UI_CHEST_SKIP,跳过 »,Skip »,Langkau »
UI_CHEST_WOODEN,木宝箱,Wooden Chest,Peti Kayu
UI_CHEST_IRON,铁宝箱,Iron Chest,Peti Besi
UI_CHEST_GOLD,金宝箱,Golden Chest,Peti Emas
UI_CHEST_FREE,免费,Free,Percuma
UI_CHEST_CARDS,%d 张卡片,%d Cards,%d Kad
UI_CHEST_PENDING,⏳ 待领取宝箱,⏳ Pending Chest,⏳ Peti Menunggu
UI_CHEST_CLAIM,➕ 领取到槽位,➕ Claim to Slot,➕ Tuntut ke Slot
UI_RARITY_WHITE,白,Common,Biasa
UI_RARITY_GREEN,绿,Uncommon,Luar Biasa
UI_RARITY_BLUE,蓝,Rare,Jarang
UI_RARITY_PURPLE,紫,Epic,Epik
UI_RARITY_ORANGE,橙,Legendary,Legenda
UI_RARITY_NORMAL,普通,Normal,Biasa
UI_RARITY_RARE,稀有,Rare,Jarang
UI_RARITY_EPIC,史诗,Epic,Epik
UI_RARITY_LEGEND,传说,Legendary,Legenda
UI_HERO_UPGRADE_TITLE,🏰 英雄升级,🏰 Hero Upgrade,🏰 Naik Taraf Wira
UI_HERO_CONFIRM,✅ 确认选择,✅ Confirm,✅ Sahkan
UI_PROFILE_TITLE,农场主,Farmer,Pemilik Ladang
UI_PROFILE_EDIT_NAME,修改名字,Edit Name,Tukar Nama
UI_PROFILE_STATS,战绩,Stats,Statistik
UI_PROFILE_GAMES_PLAYED,游戏场次,Games Played,Permainan Dimainkan
UI_PROFILE_WINS,胜场,Wins,Kemenangan
UI_PROFILE_ACHIEVEMENTS,🏆 成就,🏆 Achievements,🏆 Pencapaian
UI_PROFILE_NO_ACHIEVEMENTS,暂无成就，完成挑战即可解锁,No achievements yet,Tiada pencapaian lagi
UI_VICTORY_TITLE,🎉 胜利！,🎉 Victory!,🎉 Kemenangan!
UI_DEFEAT_TITLE,💀 游戏结束,💀 Game Over,💀 Tamat Permainan
UI_DEFEAT_MSG,农场被攻破了！,The farm has fallen!,Ladang telah jatuh!
UI_REVIVE_TITLE,💔 农场快撑不住了！,💔 Farm is falling!,💔 Ladang akan jatuh!
UI_REVIVE_MSG,观看广告可获得一次免费复活机会,Watch an ad for a free revive,Tonton iklan untuk kebangkitan percuma
UI_REVIVE_WATCH_AD,📺 观看广告复活,📺 Watch Ad to Revive,📺 Tonton Iklan untuk Bangkit
UI_REVIVE_GIVE_UP,放弃,Give Up,Menyerah
UI_DOUBLE_REWARD_TITLE,🎉 恭喜守护成功！,🎉 Farm Defended!,🎉 Ladang Dipertahankan!
UI_DOUBLE_REWARD_WATCH,📺 双倍奖励,📺 Double Reward,📺 Ganjaran Berganda
UI_DOUBLE_REWARD_NORMAL,领取普通奖励,Claim Normal Reward,Tuntut Ganjaran Biasa
UI_ENDLESS_ENTER,♾️ 继续无限模式,♾️ Continue Endless,♾️ Teruskan Tanpa Had
UI_RETURN_HOME,返回主界面,Return to Menu,Kembali ke Menu
UI_TUTORIAL_TITLE,🎓 新手教学,🎓 Tutorial,🎓 Tutorial
UI_TUTORIAL_COMPLETED,✅ 已通过,✅ Completed,✅ Selesai
UI_TUTORIAL_START,开始 ▶,Start ▶,Mula ▶
UI_FACTORY_TITLE,兵工厂,Factory,Kilang
UI_FACTORY_TOWERS,⚔️ 炮台,⚔️ Towers,⚔️ Menara
UI_FACTORY_HEROES,🗿 英雄,🗿 Heroes,🗿 Wira
UI_FACTORY_ITEMS,📦 道具,📦 Items,📦 Item
UI_FACTORY_FILTER_ALL,全部,All,Semua
UI_LEVEL_PASS_TITLE,升级通行证,Battle Pass,Pas Pertempuran
UI_LEVEL_PASS_FREE,免费,Free,Percuma
UI_LEVEL_PASS_CLAIM_ALL,全部领取,Claim All,Tuntut Semua
UI_COMING_SOON,功能开发中，敬请期待 🚧,Feature coming soon 🚧,Ciri akan datang 🚧
UI_FREE_REWARD_TITLE,🎁 免费奖励,🎁 Free Reward,🎁 Ganjaran Percuma
UI_FREE_REWARD_DESC,观看广告获得以下奖励之一：\n\n💎 30-50 钻石\n🧩 随机炮台碎片（蓝/紫/橙）\n\n是否观看广告？,Watch an ad for one of these rewards:\n\n💎 30-50 Gems\n🧩 Random tower fragments (Rare/Epic/Legendary)\n\nWatch ad?,Tonton iklan untuk salah satu ganjaran:\n\n💎 30-50 Permata\n🧩 Serpihan menara rawak (Jarang/Epik/Legenda)\n\nTonton iklan?
UI_FREE_REWARD_WATCH,📺 看广告领取,📺 Watch Ad to Claim,📺 Tonton Iklan untuk Tuntut
UI_REWARD_TITLE,🎉 奖励,🎉 Reward,🎉 Ganjaran
UI_REWARD_GEMS,💎 获得 %d 钻石！,💎 Got %d gems!,💎 Dapat %d permata!
UI_REWARD_FRAGMENTS,🧩 获得 %s 碎片 ×%d！,🧩 Got %s fragments ×%d!,🧩 Dapat serpihan %s ×%d!
UI_REVIVE_DIALOG_MSG,农场 HP 归零！\n观看广告可获得一次免费复活机会\n复活后恢复 50% 生命值,Farm HP is zero!\nWatch an ad for a free revive\nRevive restores 50% HP,HP Ladang sifar!\nTonton iklan untuk kebangkitan percuma\nKebangkitan pulihkan 50% HP
UI_DEFEAT_MSG_FULL,农场被攻破了！\n带出金币: %d 🪙\n下次再接再厉～,The farm has fallen!\nGold carried: %d 🪙\nBetter luck next time~,Ladang telah jatuh!\nEmas dibawa: %d 🪙\nCuba lagi~
UI_ENDLESS_REACHED,\n🏆 无限模式到达: 第 %d 波（最高: %d）,\n🏆 Endless reached: Wave %d (Best: %d),\n🏆 Tanpa Had: Gelombang %d (Terbaik: %d)
UI_TUTORIAL_COMPLETE_TITLE,🎉 教学完成！,🎉 Tutorial Complete!,🎉 Tutorial Selesai!
UI_VICTORY_REWARD_DESC,恭喜守护农场成功！\n\n普通奖励: %d 🪙 + 200 XP\n双倍奖励: %d 🪙 + 400 XP（看广告获得）,Farm defended!\n\nNormal reward: %d 🪙 + 200 XP\nDouble reward: %d 🪙 + 400 XP (watch ad),Ladang dipertahankan!\n\nGanjaran biasa: %d 🪙 + 200 XP\nGanjaran berganda: %d 🪙 + 400 XP (tonton iklan)
UI_VICTORY_RESULT,恭喜守护农场成功！\n评分: %s %s\n带出金币: %d 🪙%s\n获得 %d XP 奖励%s,Farm defended!\nRating: %s %s\nGold carried: %d 🪙%s\nEarned %d XP%s,Ladang dipertahankan!\nPenilaian: %s %s\nEmas dibawa: %d 🪙%s\nDapat %d XP%s
UI_ENDLESS_BEST,\n🏆 无限模式最高波数: %d,\n🏆 Endless best wave: %d,\n🏆 Gelombang terbaik Tanpa Had: %d
UI_CHEST_SLOTS_FULL_TITLE,🎁 宝箱槽位已满,🎁 Chest Slots Full,🎁 Slot Peti Penuh
UI_CHEST_SLOTS_FULL_MSG,4 个槽位都占满了！\n看广告可以保留这个宝箱\n等有空槽位时再领取,All 4 slots are full!\nWatch an ad to keep this chest\nClaim when a slot opens,Semua 4 slot penuh!\nTonton iklan untuk simpan peti\nTuntut apabila slot kosong
UI_CHEST_SLOTS_WATCH,📺 看广告保留,📺 Watch Ad to Keep,📺 Tonton Iklan untuk Simpan
UI_CHEST_KEPT,\n✅ 宝箱已保留！下次有空槽位时前往宝箱标签领取,\n✅ Chest saved! Claim from Chests tab when a slot opens,\n✅ Peti disimpan! Tuntut dari tab Peti apabila slot kosong
UI_CHEST_LOST,\n❌ 已丢失一个金宝箱！（清空槽位后可正常获得）,\n❌ Lost a golden chest! (Clear slots to receive chests normally),\n❌ Hilang peti emas! (Kosongkan slot untuk terima peti)
UI_STAR_PERFECT,完美防守！,Perfect defense!,Pertahanan sempurna!
UI_STAR_GOOD,表现良好！,Good performance!,Prestasi baik!
UI_STAR_CLOSE,险险通关！,Close call!,Hampir-hampir!
UI_DOUBLE_BONUS, 🎊×2, 🎊×2, 🎊×2
UI_CHEST_OBTAINED,\n🎁 获得 %s！前往宝箱标签解锁,\n🎁 Got %s! Go to Chests tab to unlock,\n🎁 Dapat %s! Pergi ke tab Peti untuk buka
UI_RARITY_POPUP_NORMAL,普通,Normal,Biasa
UI_RARITY_POPUP_RARE,稀有,Rare,Jarang
UI_RARITY_POPUP_EPIC,史诗,Epic,Epik
UI_RARITY_POPUP_LEGEND,传说,Legendary,Legenda
UI_UPGRADE_CLOSE,关闭,Close,Tutup
UI_UPGRADE_REQUIRED,⚠ 需要：,⚠ Requires: ,⚠ Memerlukan:
UI_SELL_CONFIRM_HERO,确定售出 %s？\n\n⚠️ 售出后地形效果消失\n重新放置需从 Lv1 开始成长,Sell %s?\n\n⚠️ Terrain effect will disappear\nRe-placing starts from Lv1,Jual %s?\n\n⚠️ Kesan medan akan hilang\nLetakkan semula bermula Lv1
UI_SELL_CONFIRM_TOWER,确定售出 %s？\n返还 %d 🪙,Sell %s?\nRefund %d 🪙,Jual %s?\nPulangan %d 🪙
UI_SELL_BTN,💰 售出\n%d🪙,💰 Sell\n%d🪙,💰 Jual\n%d🪙
UI_CONFIRM_SELL,确认售出,Confirm Sell,Sahkan Jualan
UI_UPGRADE_BTN,升级 🪙%d,Upgrade 🪙%d,Naik Taraf 🪙%d
UI_UPGRADE_FREE,升级 FREE,Upgrade FREE,Naik Taraf PERCUMA
UI_UPGRADE_LOCKED,🔒 锁定,🔒 Locked,🔒 Dikunci
UI_TARGET_FIRST,第一个,First,Pertama
